date,US 10yr bond,UK 10yr bond
2001-04-16,5.254,4.947
2001-04-17,5.225,4.975
2001-04-18,5.146,5.054
2001-04-19,5.294,5.088
2001-04-20,5.288,5.066
2001-04-23,5.177,5.018
2001-04-24,5.209,5.019
2001-04-25,5.256,5.047
2001-04-26,5.192,4.997
2001-04-27,5.328,5.058
2001-04-30,5.338,5.118
2001-05-01,5.292,5.092
2001-05-02,5.288,5.057
2001-05-03,5.205,5.033
2001-05-04,5.205,4.995
2001-05-07,5.197,4.995
2001-05-08,5.245,4.987
2001-05-09,5.174,4.957
2001-05-10,5.295,4.985
2001-05-11,5.447,5.037
2001-05-14,5.441,5.1
2001-05-15,5.512,5.101
2001-05-16,5.445,5.026
2001-05-17,5.407,5.038
2001-05-18,5.405,5.116
2001-05-21,5.374,5.127
2001-05-22,5.41,5.132
2001-05-23,5.401,5.18
2001-05-24,5.491,5.2
2001-05-25,5.511,5.242
2001-05-28,5.494,5.239
2001-05-29,5.515,5.212
2001-05-30,5.509,5.214
2001-05-31,5.381,5.226
2001-06-01,5.364,5.138
2001-06-04,5.341,5.148
2001-06-05,5.269,5.088
2001-06-06,5.255,5.093
2001-06-07,5.324,5.136
2001-06-08,5.356,5.161
2001-06-11,5.284,5.131
2001-06-12,5.253,5.224
2001-06-13,5.263,5.242
2001-06-14,5.221,5.176
2001-06-15,5.232,5.165
2001-06-18,5.251,5.162
2001-06-19,5.236,5.177
2001-06-20,5.205,5.192
2001-06-21,5.172,5.224
2001-06-22,5.115,5.148
2001-06-25,5.13,5.119
2001-06-26,5.224,5.162
2001-06-27,5.235,5.152
2001-06-28,5.335,5.239
2001-06-29,5.412,5.289
2001-07-02,5.322,5.302
2001-07-03,5.38,5.313
2001-07-04,5.378,5.294
2001-07-05,5.391,5.289
2001-07-06,5.359,5.162
2001-07-09,5.327,5.204
2001-07-10,5.274,5.179
2001-07-11,5.289,5.094
2001-07-12,5.234,5.122
2001-07-13,5.217,5.154
2001-07-16,5.173,5.134
2001-07-17,5.204,5.133
2001-07-18,5.091,5.105
2001-07-19,5.106,5.131
2001-07-20,5.129,5.071
2001-07-23,5.104,5.067
2001-07-24,5.11,5.068
2001-07-25,5.182,5.084
2001-07-26,5.129,5.075
2001-07-27,5.098,5.046
2001-07-30,5.066,5.031
2001-07-31,5.054,5.01
2001-08-01,5.071,5.045
2001-08-02,5.151,5.085
2001-08-03,5.157,5.053
2001-08-06,5.153,5.016
2001-08-07,5.168,4.998
2001-08-08,5.05,4.939
2001-08-09,5.034,4.873
2001-08-10,4.98,4.837
2001-08-13,4.976,4.836
2001-08-14,4.966,4.896
2001-08-15,5,4.939
2001-08-16,4.94,4.903
2001-08-17,4.839,4.829
2001-08-20,4.902,4.855
2001-08-21,4.864,4.871
2001-08-22,4.894,4.897
2001-08-23,4.88,4.887
2001-08-24,4.922,4.919
2001-08-27,4.924,4.923
2001-08-28,4.836,4.835
2001-08-29,4.771,4.84
2001-08-30,4.812,4.815
2001-08-31,4.832,4.866
2001-09-03,4.826,4.864
2001-09-04,4.959,5.016
2001-09-05,4.967,5.038
2001-09-06,4.873,4.996
2001-09-07,4.79,4.921
2001-09-10,4.835,4.926
2001-09-11,4.727,4.877
2001-09-13,4.623,4.906
2001-09-14,4.553,4.825
2001-09-17,4.623,4.863
2001-09-18,4.707,4.887
2001-09-19,4.691,4.915
2001-09-20,4.742,4.934
2001-09-21,4.691,4.925
2001-09-24,4.716,4.96
2001-09-25,4.7,4.949
2001-09-26,4.628,4.902
2001-09-27,4.548,4.883
2001-09-28,4.588,4.907
2001-10-01,4.54,4.918
2001-10-02,4.501,4.871
2001-10-03,4.468,4.798
2001-10-04,4.506,4.797
2001-10-05,4.504,4.792
2001-10-08,4.506,4.748
2001-10-09,4.593,4.815
2001-10-10,4.597,4.815
2001-10-11,4.666,4.873
2001-10-12,4.669,4.859
2001-10-15,4.599,4.799
2001-10-16,4.559,4.795
2001-10-17,4.567,4.811
2001-10-18,4.577,4.805
2001-10-19,4.621,4.794
2001-10-22,4.633,4.786
2001-10-23,4.643,4.803
2001-10-24,4.596,4.737
2001-10-25,4.551,4.683
2001-10-26,4.529,4.693
